Date,Open,High,LowClose,Adj Close,Volume
Oct 19 2020,229.55,231.02,225.17,226.00,226.00,2009500.0
Oct 16 2020,229.77,231.91,229.15,229.37,229.37,2162800.0
Oct 15 2020,226.15,230.00,225.59,229.64,229.64,2177300.0
Oct 14 2020,228.41,229.48,227.35,227.62,227.62,1862600.0
Oct 13 2020,225.70,228.58,224.93,227.35,227.35,2098900.0
Oct 12 2020,224.81,226.51,223.12,226.11,226.11,2412400.0
Oct 09 2020,226.94,227.22,223.12,224.83,224.83,3237700.0
Oct 08 2020,226.09,227.08,224.29,225.80,225.80,3195800.0
Oct 07 2020,225.58,228.41,225.13,226.48,226.48,1972500.0
Oct 06 2020,226.83,228.66,223.60,224.09,224.09,2453600.0
Oct 05 2020,224.86,226.50,224.01,226.07,226.07,2913800.0
Oct 02 2020,217.51,223.35,217.10,222.67,222.67,3833100.0
Oct 01 2020,221.59,223.00,217.79,219.59,219.59,2443000.0
Sep 30 2020,218.87,222.20,218.41,219.49,219.49,3033500.0
Sep 29 2020,220.42,220.96,218.48,218.68,218.68,1731700.0
Sep 28 2020,220.00,221.98,219.02,220.26,220.26,2111700.0
Sep 25 2020,215.30,219.25,213.65,218.18,218.18,2196800.0
Sep 24 2020,214.75,218.41,213.59,216.12,216.12,1727000.0
Sep 23 2020,217.67,219.69,214.24,214.97,214.97,2777700.0
Sep 22 2020,216.43,216.96,214.55,216.41,216.41,2475600.0
Sep 21 2020,217.14,218.05,213.40,216.41,216.41,2831800.0
Sep 18 2020,221.62,223.57,220.13,220.27,220.27,3861400.0
Sep 17 2020,223.70,223.73,220.50,222.58,222.58,3376600.0
Sep 16 2020,222.17,226.72,221.30,224.81,224.81,3463700.0
Sep 15 2020,221.76,223.64,221.40,222.37,222.37,2640700.0
Sep 14 2020,219.72,222.59,219.34,220.56,220.56,2543800.0
Sep 11 2020,217.69,219.18,216.28,218.00,218.00,3616500.0
Sep 10 2020,215.72,219.48,215.72,217.24,217.24,3325600.0
Sep 09 2020,215.00,218.17,214.44,215.71,215.71,3213200.0
Sep 08 2020,211.18,216.30,211.06,213.58,213.58,4107600.0
Sep 04 2020,215.29,217.78,210.76,211.73,211.73,3828600.0
Sep 03 2020,218.11,218.11,211.90,213.80,213.80,3126700.0
Sep 02 2020,213.25,217.13,212.69,216.23,216.23,4092000.0
Sep 01 2020,210.84,213.61,210.58,212.69,212.69,2926700.0
Aug 31 2020,213.52,214.99,212.81,213.52,213.52,2900900.0
Aug 28 2020,212.82,216.71,211.77,214.91,213.66,3212500.0
Aug 27 2020,214.34,216.10,212.10,212.19,210.96,3226800.0
Aug 26 2020,212.09,214.42,211.60,213.76,212.52,2316700.0
Aug 25 2020,213.96,214.19,212.22,212.65,211.41,2302400.0
Aug 24 2020,212.26,213.50,210.93,212.62,211.38,2463900.0
Aug 21 2020,209.96,212.19,209.26,211.57,210.34,3484800.0
Aug 20 2020,208.12,210.99,208.10,209.88,208.66,2084900.0
Aug 19 2020,210.22,211.17,208.64,209.51,208.29,2711100.0
Aug 18 2020,209.26,210.43,207.23,210.32,209.10,2921500.0
Aug 17 2020,206.94,209.50,206.85,208.67,207.46,2619000.0
