Date,Open,High,Low,Close,Adj Close,Volume
Oct 01 2020,24.63,24.75,24.11,24.24,24.24,8728500.0
Sep 30 2020,25.53,25.62,25.07,25.17,25.17,7342700.0
Sep 29 2020,25.91,25.93,25.42,25.65,25.65,7120100.0
Sep 28 2020,26.19,26.41,26.08,26.09,26.09,8434200.0
Sep 25 2020,25.89,26.08,25.55,25.74,25.74,9600200.0
Sep 24 2020,26.53,26.88,26.06,26.54,26.54,9512700.0
Sep 23 2020,27.10,27.15,26.05,26.12,26.12,8124000.0
Sep 22 2020,26.95,27.21,26.40,26.64,26.64,6759000.0
Sep 21 2020,26.30,26.40,25.92,26.31,26.31,8337100.0
Sep 18 2020,27.24,27.29,26.86,26.98,26.98,7028300.0
Sep 17 2020,27.65,27.84,27.35,27.60,27.60,10232600.0
Sep 16 2020,27.83,28.38,27.67,28.05,28.05,11425000.0
Sep 15 2020,28.17,28.40,27.78,27.84,27.84,6545300.0
Sep 14 2020,28.08,28.08,27.64,27.72,27.72,5947400.0
Sep 11 2020,28.16,28.32,27.74,28.08,28.08,6870700.0
Sep 10 2020,28.89,28.93,27.86,27.87,27.87,6582000.0
Sep 09 2020,28.92,29.03,28.43,28.52,28.52,5839500.0
Sep 08 2020,28.32,28.43,27.85,28.03,28.03,6146400.0
Sep 04 2020,29.48,29.51,28.59,28.91,28.91,7397300.0
Sep 03 2020,29.05,29.61,28.74,28.94,28.94,6172900.0
Sep 02 2020,29.21,29.25,28.93,29.04,29.04,5989400.0
Sep 01 2020,29.20,29.59,28.93,29.20,29.20,6202800.0
Aug 31 2020,30.35,30.35,29.67,29.68,29.68,4933000.0
Aug 28 2020,30.07,30.30,29.88,30.19,30.19,5251400.0
Aug 27 2020,30.07,30.17,29.54,29.78,29.78,5544600.0
Aug 26 2020,30.10,30.27,29.89,30.03,30.03,3991700.0
Aug 25 2020,30.77,30.82,29.81,30.06,30.06,4147600.0
Aug 24 2020,30.41,30.85,30.17,30.53,30.53,5078400.0
Aug 21 2020,29.58,29.71,29.45,29.63,29.63,4672800.0
Aug 20 2020,30.10,30.32,29.95,30.12,30.12,4702600.0
