Date,Open,High,Low,Close,Adj Close,Volume
Oct 05 2020,20.14,20.59,20.11,20.29,20.29,193300.0
Oct 02 2020,18.70,19.22,18.58,18.99,18.99,155500.0
Oct 01 2020,19.56,19.68,19.05,19.52,19.52,152100.0
Sep 30 2020,19.70,20.03,19.67,19.92,19.92,50900.0
Sep 29 2020,20.25,20.28,19.60,19.77,19.77,38900.0
Sep 28 2020,20.26,20.65,20.10,20.56,20.56,48300.0
Sep 25 2020,19.91,20.20,19.89,20.16,20.16,40600.0
Sep 24 2020,19.49,19.93,19.43,19.78,19.78,77900.0
Sep 23 2020,19.55,19.96,19.47,19.49,19.49,80500.0
Sep 22 2020,19.50,19.66,19.21,19.42,19.42,71500.0
Sep 21 2020,19.86,19.95,19.31,19.72,19.72,209600.0
Sep 18 2020,20.33,20.53,20.23,20.42,20.42,183400.0
Sep 17 2020,19.88,20.45,19.80,20.42,20.42,165000.0
Sep 16 2020,19.25,19.93,19.14,19.90,19.90,137900.0
Sep 15 2020,18.55,19.04,18.47,18.97,18.97,66600.0
Sep 14 2020,18.31,18.60,18.30,18.49,18.49,97000.0
Sep 11 2020,18.15,18.60,18.15,18.39,18.39,48000.0
Sep 10 2020,18.69,18.87,18.17,18.19,18.19,89400.0
Sep 09 2020,18.38,18.81,18.26,18.66,18.66,121200.0
Sep 08 2020,18.38,18.52,18.10,18.39,18.39,227300.0
Sep 04 2020,19.76,19.82,19.26,19.51,19.51,181400.0
Sep 03 2020,19.60,20.22,19.55,20.11,20.11,141600.0
Sep 02 2020,20.53,20.54,19.91,20.07,20.07,146100.0
Sep 01 2020,20.37,20.75,20.37,20.47,20.47,116400.0
Aug 31 2020,20.58,20.64,20.25,20.36,20.36,82000.0
Aug 28 2020,20.48,20.85,20.42,20.85,20.85,174200.0
Aug 27 2020,20.59,20.59,20.02,20.27,20.27,354000.0
Aug 26 2020,20.76,21.18,20.68,21.06,21.06,177500.0
Aug 25 2020,21.48,21.58,20.98,21.14,21.14,181500.0
Aug 24 2020,20.73,21.18,20.63,21.07,21.07,172300.0
Aug 21 2020,20.17,20.30,19.79,20.13,20.13,103800.0
Aug 20 2020,19.91,20.55,19.80,20.52,20.52,86400.0
Aug 19 2020,20.06,20.51,19.90,20.39,20.39,70900.0
Aug 18 2020,20.02,20.46,20.02,20.34,20.34,116200.0
Aug 17 2020,19.89,20.34,19.89,20.29,20.29,124600.0
Aug 14 2020,19.71,19.92,19.59,19.89,19.89,51400.0
Aug 13 2020,19.72,19.90,19.42,19.68,19.68,51500.0
Aug 12 2020,19.67,19.89,19.61,19.80,19.80,88900.0
Aug 11 2020,19.95,20.02,19.17,19.17,19.17,111100.0
Aug 10 2020,19.76,19.90,19.59,19.69,19.69,114600.0
Aug 07 2020,19.50,19.50,19.10,19.33,19.33,48800.0
Aug 06 2020,19.80,19.90,19.55,19.68,19.68,80300.0
Aug 05 2020,20.00,20.15,19.45,19.53,19.53,140200.0
Aug 04 2020,19.07,19.59,19.06,19.28,19.28,88100.0
Aug 03 2020,19.00,19.58,18.88,19.29,19.29,119100.0
Jul 31 2020,18.83,18.87,18.32,18.72,18.72,117900.0
Jul 30 2020,18.90,19.11,18.10,19.00,19.00,338600.0
Jul 29 2020,19.57,19.71,19.30,19.37,19.37,81900.0
Jul 28 2020,19.70,19.83,19.63,19.66,19.66,69000.0
Jul 27 2020,19.73,19.98,19.41,19.88,19.88,126200.0
Jul 24 2020,19.76,20.03,19.66,19.99,19.99,301300.0
Jul 23 2020,19.86,20.23,19.68,19.86,19.86,120600.0
Jul 22 2020,19.90,20.20,19.88,20.12,20.12,77900.0
Jul 21 2020,19.98,20.22,19.97,20.11,20.11,165000.0
Jul 20 2020,18.94,19.42,18.94,19.32,19.32,100000.0
Jul 17 2020,19.15,19.32,18.78,19.18,19.18,104200.0
Jul 16 2020,19.62,19.65,19.25,19.37,19.37,80800.0
Jul 15 2020,19.84,20.04,19.60,19.76,19.76,114900.0
Jul 14 2020,19.20,19.75,19.13,19.65,19.65,85400.0
Jul 13 2020,20.00,20.27,19.67,19.71,19.71,180200.0
Jul 10 2020,19.94,20.28,19.80,20.11,20.11,172900.0
Jul 09 2020,20.16,20.16,19.59,19.64,19.64,170200.0
Jul 08 2020,19.94,20.37,19.92,20.21,20.21,132600.0
Jul 07 2020,19.64,20.19,19.60,19.94,19.94,336700.0
Jul 06 2020,19.44,19.68,19.39,19.58,19.58,167300.0
Jul 02 2020,19.44,19.84,19.17,19.56,19.56,324300.0
Jul 01 2020,19.24,19.37,18.75,19.10,19.10,145400.0
Jun 30 2020,18.74,19.22,18.69,18.95,18.95,122800.0
Jun 29 2020,18.48,18.85,18.20,18.75,18.75,249700.0
Jun 26 2020,18.85,18.88,17.85,17.89,17.89,247900.0
Jun 25 2020,18.34,19.00,18.30,18.96,18.96,295000.0
Jun 24 2020,19.95,20.03,18.61,18.78,18.78,356400.0
Jun 23 2020,20.60,20.74,20.22,20.42,20.42,187300.0
Jun 22 2020,19.99,20.34,19.88,20.31,20.31,154800.0
Jun 19 2020,20.00,20.15,19.43,19.85,19.85,273700.0
Jun 18 2020,19.26,19.83,19.22,19.78,19.78,173900.0
Jun 17 2020,18.95,19.30,18.72,19.13,19.13,119700.0
Jun 16 2020,19.13,19.39,18.64,19.11,19.11,168200.0
